file_name,text,Category,fold
32044,benign fibroosseous lesion paget disease jaw study five patient paget disease jaw report patient welldocumented case osteitis deformans polyostotic involvement histologic study facial bone could perform surgery necessary either cosmetic functional reason three specimen consist maxillary bone two mandibular microscopically case show multiple irregular lesion contain mineralize structure intermingle bone characteristic paget disease purpose article present fibroosseous lesion relation paget disease jaw emphasize close resemblance benign fibroosseous lesion jaw especially cementifying ossify fibroma florid osseous dysplasia,Musculoskeletal Diseases,3
1246,factor associate soft hardtissue compromise endosseous implant prospective analysis identify factor associate endosseous implant removal well factor associate implant morbidity result nonscheduled patient visit treatment latter condition discus important factor identify implant success surgery without compromise technique place implant sound bone avoid thin bone implant dehiscence time implant placement avoid premature implant exposure heal period establish balance restoration insure appropriate followup hygiene care posterior mandible presence keratinize gingiva strongly correlate optimal soft hardtissue health,Musculoskeletal Diseases,4
21677,puppetlike syndrome angelman pathologic neurochemical study present first pathologic description puppetlike syndrome angelman base autopsy study yearold woman noteworthy finding small brain mild cerebral atrophy normal gyral development mark cerebellar atrophy loss purkinje granule cell extensive bergmanns gliosis study dendrite morphology use golgi impregnation visual cortex reveal prominent decrease dendritic arborization layer layer pyramidal neuron quantitative golgi analysis also reveal significant decrease number dendritic spin apical layer dendrite apical basal layer dendrite neurochemical study freeze brain tissue demonstrate markedly reduce acid content cerebellar cortex well elevate glutamate content frontal occipital cortex although definite morphologic correlate many clinical sign pronounce dendritic pathology neurochemical abnormality cerebral cortex may provide physiologic basis mental retardation,Musculoskeletal Diseases,0
4565,monosodium urate crystal stimulate phospholipase enzyme activity synthesis phospholipase a2activating protein eicosanoids important mediator inflammatory response monosodium urate crystal msuc result gout phospholipase enzyme cleave fatty acid membrane phospholipid think ratelimiting step eicosanoid production understand better mechanism eicosanoid production disease stimulate human peripheral blood neutrophil monocyte msuc measure phospholipase enzyme activity msuc stimulate intracellular secretory phospholipase enzyme activity time manner specificity observe phospholipase activity affect pretreatment colchicine aspirin indomethacin allopurinol islet activate protein abrogate enhance phospholipase activity recently isolate characterize phospholipase activate protein term plap synovial fluid patient rheumatoid arthritis murine bovine cell line plap detect gouty synovial fluid immunodot blot elisa assay express characteristic plap identify source examine role plap msucinduced phospholipase stimulation treat cell msuc observe increase immunoreactive plap response also could blunt colchicine drug phospholipase plap induce production human monocyte pge2 leukotriene neutrophil finding suggest phospholipase activation response msuc require intact microtubule structure phospholipase plap may important modulators least portion gouty inflammatory response,Musculoskeletal Diseases,1
14277,sarcoidosis cauda equina report three case three case sarcoidosis cauda equina present two previous history suggestive sarcoidosis presentation one painful flaccid paralysis diagnosis make myelography laminectomy subsequent histology third patient previous diagnosis lupus pernio magnetic resonance image mri use aid diagnosis two previous case report sarcoidosis present cauda equina systemic manifestation first report use mri sarcoidosis lower meninges,Hemic and Lymphatic Diseases,2
26965,danazol therapy autoimmune hemolytic anemia associate systemic lupus erythematosus describe patient systemic lupus erythematosus sle complicate severe autoimmune hemolytic anemia therapy corticosteroid splenectomy azathioprine chlorambucil intravenous immunoglobulin unsuccessful respond danazol however maintenance hemoglobin reduction transfusion corticosteroid requirement thus danazol may represent important therapeutic option treatment autoimmune hemolytic anemia,Hemic and Lymphatic Diseases,3
45818,lack increase bleed liver biopsy patient mild hemostatic abnormality prophylactic transfusion fresh freeze plasma platelet sometimes give patient mild elevation prothrombin time partial thromboplastin time ptt mild percutaneous liver biopsy determine whether pt ptts time midrange normal level platelet count associate increase bleed complication hospital record patient undergo percutaneous liver biopsy consecutive month review complete information available inpatient procedure standard fine needle overall frequency bleed complication patient platelet count greater equal significant difference patient mild hemostatic abnormality patient normal parameter data suggest prophylactic transfusion may necessary one factor highly associate bleed complication patient diagnosis malignancy compare among patient less patient monitor closely biopsy,Hemic and Lymphatic Diseases,4
24094,cellular biochemical characteristic bronchoalveolar lavage fluid symptomatic nonallergic asthma undertake cellular biochemical examination bronchoalveolar lavage fluid nonallergic patient asthma determine nature degree inflammatory process symptomatic asthma six patient asthma mean methacholine provocative concentration cause fall fev1 mgml six control subject undergo fiberoptic bronchoscopy bronchoalveolar wash patient asthma shed higher number epithelial cell lavage fluid normal control subject less lavage fluid also contain increase number neutrophil less eosinophil less basophilic cell less increase proportion activate cell less basophilic cell mast cell indicate positive label monoclonal antibody mcg35 biochemical analysis lavage fluid demonstrate exudation protein molecule airway patient asthma increase content albumin less fibronectin less lavage fluid patient asthma also increase amount interleukinbeta ilbeta less interleukin less factor gmcsf less compare lavage fluid normal control subject evaluation lavage cell demonstrate ilbeta gmcsf mostly produce nonciliated epithelial cell andor monocyte gmcsf prime granulocyte respond stimulus promote cell activation,Immunologic Diseases,0
43396,examination food cause increase bronchial responsiveness inhale methacholine determine food challenge could alter bronchial methacholine challenge perform hour doubleblind food challenge subject asthma history foodinduced asthma positive skin prick test suspect food equal number patient demonstrate increase methacholine sensitivity food placebo challenge thus could find evidence allergic reaction food induce bronchial,Immunologic Diseases,1
35467,successful treatment lupus nephritis mrllprlpr mouse inhibit ornithine decarboxylase ornithine decarboxylase odc key enzyme biosynthesis cellular polyamines putrescine spermidine spermine dfmo irreversible inhibitor odc thereby deplete putrescine spermidine level vivo vitro previous study lupusprone mrllprlpr mouse treat dfmo drink water associate improve lifespan reduce antidna antibody production lymphadenopathy splenic polyamine level since major cause morbidity mortality lupus study effect dfmo renal histology mrllprlpr mouse female balbc mrl mouse use control dose response study reveal dfmo drink water maximum therapeutic efficacy produce significant increase median lifespan group mouse compare equal number control less renal histologic study perform kidney section four five mouse dfmotreated untreated group week age section read blind duration treatment score four major histologic criterion interstitial inflammation perivascular inflammation vasculitis show significant reduction parameter dfmotreated mouse compare age sexmatched untreated mouse strain dfmo treatment significant effect pulmonary histologic finding mouse dfmo treatment reduce odc activity polyamine concentration treat mouse,Immunologic Diseases,2
24541,intrauterine transfusion treatment nonimmune hydrops fetalis secondary human parvovirus b19 infection congenital human parvovirus b19 infection present case nonimmune hydrops fetalis result aplastic anemia week gestation intravascular transfusion therapy lead resolution hydrops term delivery appropriately grow neonate,Hemic and Lymphatic Diseases,3
15082,aid california family medicine change experience knowledge geographic distribution information regard practice pattern specific acquire syndrome aid obtain family physician california use mail survey data analyze across follow county grouping los angeles county county standard metropolitan statistical area county outside standard metropolitan statistical area comparison make data telephone survey conduct difference time analyze percentage physician treat refer patient possible aid double county outside standard metropolitan statistical area percentage physician report one diagnose case aid triple find suggest importance aid family medicine increase rapid rate addition survey result indicate majority survey still lack aidsrelated knowledge competency necessary effectively deal aid,Immunologic Diseases,4
34906,systemic lupus erythematosus present intracranial bleed previously healthy yearold girl present fever mental status change without focal neurologic deficit cbc compute tomography scan reveal intracranial bleed laboratory study consistent systemic lupus erythematosus case emphasize need maintain high index suspicion atypical presentation uncommon childhood illness,Hemic and Lymphatic Diseases,0
48710,prevention chronic erosive streptococcal cell wallinduced arthritis rat treatment monoclonal antibody cell antigen receptor alpha beta rat treat mab r73 tcralpha beta fail develop chronic persistent arthritis injection streptococcal cell wall histologically r73 mabtreated rat mild hyperplasia synovial line cell minimal destruction cartilage contrast controltreated animal develop mark pannus formation pronounce infiltration mononuclear cell severe destruction cartilage subchondral bone preventive effect r73 mab streptococcal cell wallinduced arthritis associate mark depletion alpha beta cell r73 mab result indicate cell play crucial role chronic erosive streptococcal cell wallinduced arthritis,Musculoskeletal Diseases,1
47383,antiendothelial cell antibody detect cellular base elisa kawasaki disease kawasaki disease acute vasculitic illness childhood associate significant morbidity mortality cellular base enzyme link immunosorbent assay elisa use demonstrate presence antiendothelial cell antibody serum child kawasaki disease twenty one patient kawasaki disease raise igm antibody titre four raise igg antiendothelial antibody titre significant difference igm antiendothelial cell antibody titre compare patient normal febrile control antibody titre parallel disease activity patient study serially relative increase bind antiendothelial cell antibody cytokine stimulation finding may importance research understand mechanism involve form vasculitis man,Hemic and Lymphatic Diseases,2
24174,sexual inequality ankylose spondylitis study woman men response member men national ankylose spondylitis society questionnaire analyze malefemale ratio primary ankylose spondylitis psoriatic spondylitis spondylitis associate inflammatory bowel disease respectively positive family history significantly less prevalent men woman hand elbow shoulder knee symptom parallel radiographic study men match age onset disease duration woman demonstrate similar sacroiliac cervical hip disease worse involvement lumbar spine,Musculoskeletal Diseases,3
31645,etiology medical gridlock cause emergency department overcrowd new york city overcrowd emergency department new york city apparent symptom crumble health care system grow need care largely impoverish population suffer increase prevalence aid substance abuse psychiatric disease institution cripple critical shortage inpatient bed nurse lack resource meet rise demand although epidemic medical gridlock begin new york city spread rapidly involve area country shortterm effort resolve crisis thus far unsuccessful longrange solution likely costly may require reconfiguration societal health care priority,Immunologic Diseases,4
41727,cutaneous manifestation clinical histopathologic study seventytwo patient case review erythematous purpuric macule papule present infarction hemorrhagic crust ulcer present patient relatively common type type note lesion leg common type however lesion head mucosal surface suggest type histopathologic feature classify vasculitis inflammatory noninflammatory purpura noninflammatory hyaline thrombosis sequela noninflammatory hyaline thrombosis relatively frequent type thus erythematous purpuric lesion leg vasculitis common cutaneous finding type suggest noninflammatory hyaline thrombosis cutaneous infarction hemorrhagic crust skin ulceration lesion head neck oral nasal mucosa,Hemic and Lymphatic Diseases,0
43362,determination molecular level bcell epitope thyroid peroxidase likely associate autoimmune thyroid disease panel mouse monoclonal antibody generate native nondenatured human thyroid peroxidase tpo monoclonal antibody recognize tpo protein fragment express human tpo cdna sublibrary determination nucleotide sequence clone recognize monoclonal antibody localize epitope amino acid residue human tpo protein western blot analysis tpo monoclonal antibody recognize amino acid tpo molecule denaturation reduction latter support concept major part epitope represent continuous portion tpo sequence bind tpo monoclonal antibody native tpo inhibit immunoglobulin serum patient autoimmune thyroid disease epitope monoclonal antibody define present study therefore part vicinity epitope autoimmune thyroid tpo antibody,Immunologic Diseases,1
1241,bone response hydroxyapatite particle different shape rabbit tibia four hole drill rabbit tibia fill different commercial hydroxyapatite product particle cause mild inflammatory reaction disappear month line new original bone visible even month difference heal pattern discover various product bone cavity fill hydroxyapatite particle shape particle seem affect heal process,Musculoskeletal Diseases,2
46088,ultrastructural study histiocytosis nonx histiocytoses diagnostic reliability ultrastructural examination routinely process biopsy specimen cutaneous histiocytic proliferation histiocytosis juvenile xanthogranuloma necrobiotic xanthogranuloma traumatic granuloma tongue evaluate protein peanut agglutinin antibody mac use marker histiocyte frequency birbeck cell seven histiocytosis lesion correspond number peanut agglutinin cell neoplastic histiocytosis cell positive protein peanut agglutinin negative mac histiocyte juvenile xanthogranuloma necrobiotic xanthogranuloma traumatic granuloma strongly positive mac negative protein peanut agglutinin except peanut touton giant cell mac reliably differentiate histiocytic proliferation system dendritic cell system diagnosis histiocytosis protein peanut agglutinin positivity histiocyte reliable ultrastructural demonstration birbeck granule,Hemic and Lymphatic Diseases,3
44590,recognition chromosome truncation site associate human telomerase telomere define end chromosome consist short tandemly repeat dna sequence loosely conserve eukaryote g1ta telomerase vitro recognize singlestranded grich telomere primer add multiple telomeric repeat end use template rna moiety conjunction component telomerase may balance loss telomeric repeat due dna replication another role telomerase may novo formation telomere eukaryote like tetrahymena process integral part formation macronuclear chromosome eukaryote process stabilize break chromosome case human cause truncation chromosome heal addition telomeric repeat ttagggn use vitro assay show human telomerase correctly recognize chromosome breakpoint sequence add ttagggn repeat dna sequence requirement minimal seem define two mode dna recognition telomerase,Hemic and Lymphatic Diseases,4
18855,prenatal screen prospective regional trial prenatal screen choose model system study patient receptivity unsolicited genetic information provider prenatal care rochester offer free test prenatal patient genetic counsel woman find positive prenatal sample test year period represent pregnancy rochester metropolitan region find pregnancy different type detect common sickle cell trait hemoglobin trait betathalassemia trait hemoglobin trait time phlebotomy pregnancy less duration sixtysix percent pregnancy occur patient unaware diagnosis occur patient unaware might risk child serious blood disorder positive pregnancy occur patient come counsel woman counsel first screen pregnancy say want partner test partner test pregnancy thus find risk couple late prenatal diagnosis case condition fetus risk mild case prenatal diagnosis offer remain pregnancy accept couple result indicate unselected patient primary care set region even though pregnant receptive utilize genetic information,Hemic and Lymphatic Diseases,0
44370,relative patient primary acquire two instance unusual familial association severe primary acquire describe previous report familial immunoglobulin dyscrasia discus observation lend support possible existence genetic predisposition disorder,Hemic and Lymphatic Diseases,1
26159,source confound immunologic data standardization immunologic test require control interassay intraassay biologic variation important determine distribution immunologic marker level study appropriate control population adequate size valid interpretation result require consideration complex interaction component immune system well interaction immune system physiologic regulatory system,Musculoskeletal Diseases,2
9134,thrombotic purpura treat highdose intravenous gamma globulin plasma infusion andor plasma exchange become standard therapy treatment thrombotic purpura ttp management patient primary therapy fail difficult uncertain describe patient obtain sustain remission use highdose gamma globulin initial response aggressive plasma exchange follow prompt relapse case others suggest highdose igg may induce remission patient ttp respond standard plasma infusion andor exchange,Hemic and Lymphatic Diseases,3
16910,evolutionary dynamic hiv quasispecies development disease paper present theory explain development disease long variable incubation period infection hiv two assumption central theory mutation via reverse transcription viral replication generate viral strain resistant neutralization antibody specific earlier mutant particular host virus kill cd4positive lymphocyte play role mount immunological attack direct virus theory examine via development mathematical model reveal increase number antigenically distinct viral strain may overwhelm immune system host viral diversity increase beyond certain level immune system unable suppress population growth strain simultaneously intuitive explanation pattern model behaviour lie assumption virus kill cd4positive lymphocyte specific viral strain lymphocyte direct immunological attack single viral strain,Immunologic Diseases,4
7010,subluxing arthropathy associate antijo antibody patient pmdm see university pittsburgh affiliate hospital since test positive antijo antibody sixteen patient woman white fifteen adult myositis overlap scleroderma adult evidence interstitial lung disease find antijo positive patient antijo negative patient less antijo positive patient divide separate group base observe articular finding four patient deform predominantly nonerosive arthropathy subluxation distal interphalangeal joint especially thumb eight patient nondeforming arthropathy primarily affect small joint hand wrist shoulder knee deformity longer duration arthritis compare nondeforming arthropathy mean year versus year nine antijo positive patient joint arthropathy three patient deformity require articular reconstructive surgery subluxation associate subcutaneous calcinosis,Musculoskeletal Diseases,0
24172,radiologic progression intramuscular methotrexate treatment rheumatoid arthritis radiographic evolution joint lesion patient severe longstanding rheumatoid arthritis mean duration year treat methotrexate mtx month mean month study double blind manner rheumatologist use larsens score patient clinically improve radiological study hand wrist possible patient surgical reason find deterioration joint lesion case stabilization case mtx appear able slow radiographic evolution whether could prevent radiologic progression early remain elucidate,Musculoskeletal Diseases,1
27043,enhancement tcell activation cd43 molecule whose expression defective wiskottaldrich syndrome cd43 sialophorin leukosialin leukocyte large heavily sialylated molecule find leukocyte platelet initially identify major glycoprotein mouse rat human cell cd43 expression defective cell male wiskottaldrich syndrome recessive disorder affect male susceptible opportunistic infection respond polysaccharide antigen reflect defect cytotoxic helper tcell function anticd43 monoclonal antibody modest costimulatory effect cell natural killer cell cell monocyte one antibody show activate cell directly investigate possible physiological role cd43 complementary dna encode human protein introduce murine tcell hybridoma observe cd43 enhance antigenspecific activation cell intracellular domain cd43 tcell activation require function also find cell bind specifically immobilize purify cd43 bind inhibit liposome contain cd43 well anticd43 monoclonal antibody,Hemic and Lymphatic Diseases,2
8330,effect lipoxygenase inhibitor asthma induce cold dry air background enzyme lipoxygenase catalyze metabolism arachidonic acid form product implicate airway obstruction asthma hypothesize product lipoxygenase pathway important mediate obstruction prevention formation decrease severity induce asthmatic response method randomize doubleblind crossover study examine effect lipoxygenase inhibitor induce cold dry air patient asthma completeness lipoxygenase inhibition confirm examine profile eicosanoids produce whole blood vivo activation calcium ionophore result decrease mean sem synthesis leukotriene lipoxygenase product percent per milliliter less affect synthesis thromboxane cyclooxygenase metabolite arachidonic acid per milliliter per milliliter concert selective inhibition lipoxygenase amount cold dry air express respiratory heat exchange require reduce force expiratory volume one second percent increase percent per minute placebo per minute less similar result obtain minute ventilation use indicator outcome liter per minute placebo liter per minute less conclusion selective inhibition lipoxygenase associate significant amelioration asthmatic response cold dry air suggest lipoxygenase product involve response approach may useful treatment asthma,Immunologic Diseases,3
